"ORM","Elapsed time (ms)","Used memory (KiB)","Total memory usage (KiB)","Method","Build"
"Doctrine","","","","",""
"CakePHP","","","","",""
"Eloquent","","","","",""
"Propel","","","","",""
"Yii","","","","",""
"PHP ActiveRecord","","","","",""
"Phalcon","","","","",""
