"ORM","Elapsed time (ms)","Used memory (KiB)","Total memory usage (KiB)","Method","Build"
"Doctrine","N/A","N/A","N/A","N/A","N/A"
"CakePHP","N/A","N/A","N/A","N/A","N/A"
"Eloquent","N/A","N/A","N/A","N/A","N/A"
"Propel","N/A","N/A","N/A","N/A","N/A"
"Yii","N/A","N/A","N/A","N/A","N/A"
"PHP ActiveRecord","N/A","N/A","N/A","N/A","N/A"
"Phalcon","N/A","N/A","N/A","N/A","N/A"
